1pumped_hydro,2battery,3pumped_hydro,4battery,5pumped_hydro,6battery,7pumped_hydro,8battery,9pumped_hydro,10battery,11pumped_hydro,12battery
0.0,0.0,0.0,0.0,56.666667,0.0,56.666667,0.0,166.66667,158.33333,166.66667,158.33333
0.0,0.0,0.0,0.0,0.0,-9.2336103,0.0,-9.2336103,166.66667,0.0,166.66667,0.0
166.66667,158.33333,56.666667,158.33333,166.66667,166.66667,166.66667,166.66667,56.666667,0.0,56.666667,0.0
-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,0.0,-166.66667,-166.66667,-166.66667,-17.54386,-166.66667,-17.54386
-166.66667,-166.66667,-166.66667,-17.54386,-166.66667,-166.66667,-166.66667,0.0,-166.66667,0.0,-166.66667,-166.66667
-166.66667,-17.54386,-166.66667,0.0,-166.66667,-17.54386,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667
-166.66667,0.0,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,-17.54386,-166.66667,-166.66667,-166.66667,0.0
166.66667,166.66667,166.66667,150.0,0.0,150.0,0.0,150.0,0.0,150.0,0.0,150.0
56.666667,150.0,166.66667,166.66667,166.66667,166.66667,166.66667,166.66667,0.0,166.66667,0.0,166.66667
-166.66667,-17.54386,-166.66667,-166.66667,-166.66667,-17.54386,-166.66667,-166.66667,-166.66667,-17.54386,-166.66667,-166.66667
-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,-17.54386,-166.66667,-166.66667,-166.66667,-166.66667
-166.66667,-166.66667,-166.66667,-17.54386,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,-166.66667,-17.54386
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.666667,0.0,66.666667,0.0
166.66667,166.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-18.467221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
